Symbol,Name,Avg Volume,AUM
SPY,SPDR S&P 500 ETF,72300781,"$280,381,805.07"
GDX,VanEck Vectors Gold Miners ETF,65513844,"$11,654,943.17"
EEM,iShares MSCI Emerging Markets ETF,61741039,"$27,030,899.69"
XLF,Financial Select Sector SPDR Fund,53984648,"$24,948,351.50"
TVIX,VelocityShares Daily 2x VIX Short Term ETN,41508262,"$955,733.51"
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,37859734,"$964,097.36"
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,29676793,"$1,942,693.46"
QQQ,Invesco QQQ,29349967,"$79,298,083.46"
USO,United States Oil Fund,28610939,"$1,316,151.81"
EFA,iShares MSCI EAFE ETF,26412246,"$61,706,762.06"
FXI,iShares China Large-Cap ETF,25314639,"$4,542,035.63"
EWZ,iShares MSCI Brazil ETF,24277350,"$9,363,060.39"
DWT,VelocityShares 3x Inverse Crude Oil ETN,23199768,"$227,745.04"
SLV,iShares Silver Trust,22999768,"$6,845,049.73"
IAU,iShares Gold Trust,22970418,"$17,318,885.08"
UWTI,VelocityShares 3x Long Crude ETN,22097039,"$28,203.18"
IWM,iShares Russell 2000 ETF,20657018,"$44,981,895.08"
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,19764537,"$19,137,914.48"
TQQQ,ProShares UltraPro QQQ,19711328,"$3,739,897.05"
DUST,Direxion Daily Gold Miners Bear 3X Shares,18818287,"$406,979.88"
XLU,Utilities Select Sector SPDR Fund,17740277,"$10,844,680.58"
GDXJ,VanEck Vectors Junior Gold Miners ETF,17368719,"$4,617,760.18"
UGAZ,VelocityShares 3x Long Natural Gas,17165719,"$1,117,562.25"
AMLP,Alerian MLP ETF,16977430,"$7,961,264.25"
SQQQ,ProShares UltraPro Short QQQ,16631645,"$1,221,035.81"
UVXY,ProShares Ultra VIX Short-Term Futures,16328144,"$600,738.61"
XLE,Energy Select Sector SPDR Fund,16212871,"$10,566,921.56"
GUSH,Direxion Daily S&P Oil & Gas Exploration & Production Bull 3x Shares,15451009,"$244,277.76"
UWT,VelocityShares 3x Long Crude Oil ETN,15186349,"$375,250.60"
IEMG,iShares Core MSCI Emerging Markets ETF,14797063,"$57,525,386.54"
XLP,Consumer Staples Select Sector SPDR Fund,14153599,"$13,288,040.51"
VWO,Vanguard FTSE Emerging Markets ETF,12944600,"$64,401,390.44"
TLT,iShares 20+ Year Treasury Bond ETF,12774233,"$18,250,546.97"
XLK,Technology Select Sector SPDR Fund,11872807,"$23,828,776.80"
GLD,SPDR Gold Trust,10946025,"$44,372,459.04"
XLI,Industrial Select Sector SPDR Fund,10687879,"$10,729,688.95"
NUGT,Direxion Daily Gold Miners Bull 3X Shares,10565676,"$1,426,081.34"
OIH,VanEck Vectors Oil Services ETF,10449143,"$712,091.46"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,10348011,"$35,038,350.63"
VEA,Vanguard FTSE Developed Markets ETF,9242332,"$75,635,033.13"
XLV,Health Care Select Sector SPDR Fund,8985671,"$17,935,570.81"
SPXS,Direxion Daily S&P 500 Bear 3X Shares,8222450,"$469,740.72"
SDS,ProShares UltraShort S&P 500,7630342,"$997,860.60"
IEFA,iShares Core MSCI EAFE ETF,7564618,"$68,607,294.34"
IYR,iShares U.S. Real Estate ETF,7033821,"$4,729,052.05"
EWJ,iShares MSCI Japan ETF,6913597,"$13,178,007.58"
JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,6835107,"$155,859.93"
KRE,SPDR S&P Regional Banking ETF,6712017,"$2,035,964.52"
EWH,iShares MSCI Hong Kong ETF,6632136,"$1,676,167.49"
JNK,SPDR Barclays High Yield Bond ETF,6602102,"$10,469,100.15"
XLB,Materials Select Sector SPDR ETF,6316751,"$3,559,362.73"
RSX,VanEck Vectors Russia ETF,6137963,"$1,338,392.06"
SPXU,ProShares UltraPro Short S&P 500,6076253,"$613,954.97"
IEF,iShares 7-10 Year Treasury Bond ETF,5676600,"$19,328,183.35"
SH,ProShares Short S&P 500,5638182,"$1,946,804.03"
XRT,SPDR S&P Retail ETF,5627736,"$266,129.15"
BKLN,Invesco Senior Loan ETF,5385112,"$4,941,752.41"
USMV,iShares Edge MSCI Min Vol USA ETF,5041730,"$36,307,847.35"
SMH,VanEck Vectors Semiconductor ETF,4930012,"$1,444,632.95"
EZU,iShares MSCI EMU ETF,4802111,"$6,198,741.37"
XBI,SPDR S&P Biotech ETF,4704405,"$3,779,274.27"
GOVT,iShares U.S. Treasury Bond ETF,4635063,"$14,941,552.65"
INDA,iShares MSCI India ETF,4618885,"$5,344,935.70"
SPXL,Direxion Daily S&P 500 Bull 3X Shares,4326250,"$983,089.65"
VNQ,Vanguard Real Estate Index Fund,4218986,"$37,264,574.71"
EWT,iShares MSCI Taiwan ETF,4200106,"$3,219,343.89"
XLRE,Real Estate Select Sector SPDR Fund,4134241,"$3,947,625.07"
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,4129982,"$14,702,137.53"
SPLV,Invesco S&P 500Â® Low Volatility ETF,4086558,"$12,674,046.36"
TBT,UltraShort Barclays 20+ Year Treasury,4076623,"$635,695.67"
UPRO,ProShares UltraPro S&P 500,3940627,"$1,341,745.62"
UCO,ProShares Ultra Bloomberg Crude Oil,3933289,"$363,647.10"
IVV,iShares Core S&P 500 ETF,3928005,"$193,567,613.41"
ASHR,Xtrackers Harvest CSI 300 China A-Shares Fund,3765333,"$1,751,600.67"
AGG,iShares Core U.S. Aggregate Bond ETF,3702315,"$65,916,142.65"
VIXY,ProShares VIX Short-Term Futures ETF,3668158,"$301,909.10"
DWTI,VelocityShares 3x Inverse Crude ETN,3640700,"$3,030.35"
TNA,Direxion Daily Small Cap Bull 3X Shares,3639817,"$744,775.20"
XLY,Consumer Discretionary Select Sector SPDR Fund,3609750,"$14,413,946.30"
PFF,iShares Preferred and Income Securities ETF,3561400,"$16,881,748.05"
EWG,iShares MSCI Germany ETF,3559824,"$2,123,939.78"
VGK,Vanguard FTSE Europe ETF,3543176,"$13,240,535.96"
MCHI,iShares MSCI China ETF,3492249,"$4,023,784.33"
IJR,iShares Core S&P Small-Cap ETF,3467970,"$45,860,575.11"
EWY,iShares MSCI South Korea ETF,3449173,"$4,406,409.49"
XLC,Communication Services Select Sector SPDR Fund,3199188,"$6,272,276.31"
JNUG,Direxion Daily Junior Gold Miners Index Bull 3x Shares,3183688,"$916,431.32"
BND,Vanguard Total Bond Market ETF,3176870,"$46,437,342.82"
TZA,Direxion Daily Small Cap Bear 3X Shares,3143220,"$312,428.38"
FEZ,SPDR EURO STOXX 50 ETF,3119885,"$2,156,091.24"
DIA,SPDR Dow Jones Industrial Average ETF,3116683,"$21,973,037.91"
QID,ProShares UltraShort QQQ,3089736,"$311,997.22"
SCHF,Schwab International Equity ETF,3055758,"$19,873,147.61"
EWW,iShares MSCI Mexico ETF,2965461,"$811,981.14"
PSQ,ProShares Short QQQ,2949135,"$544,897.49"
ACWI,iShares MSCI ACWI ETF,2862359,"$10,891,935.76"
EWU,iShares MSCI United Kingdom ETF,2826126,"$2,428,446.67"
SVXY,ProShares Short VIX Short-Term Futures,2780394,"$288,120.48"
VTI,Vanguard Total Stock Market ETF,2731820,"$129,496,392.73"
VOO,Vanguard S&P 500 ETF,2642276,"$122,443,639.45"
